S/N,Gender,Age,Location,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,health,absences,Scores
AB1,F,13,U,GT3,A,4,4,2,2,0,yes,no,no,no,yes,yes,no,4,3,3,6,17
AB2,F,12,U,GT3,T,1,1,1,2,0,no,yes,no,no,no,yes,yes,5,3,3,4,16
AB3,F,10,U,LE3,T,1,1,1,2,3,yes,no,yes,no,yes,yes,yes,4,3,3,10,25
AB4,F,10,U,GT3,T,4,2,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,5,2,44
AB5,F,11,U,GT3,T,3,3,1,2,0,no,yes,yes,no,yes,yes,no,4,3,5,4,26
AB6,M,11,U,LE3,T,4,3,1,2,0,no,yes,yes,yes,yes,yes,yes,5,4,5,10,45
AB7,M,11,U,LE3,T,2,2,1,2,0,no,no,no,no,yes,yes,yes,4,4,3,0,35
AB8,F,12,U,GT3,A,4,4,2,2,0,yes,yes,no,no,yes,yes,no,4,1,1,6,17
AB9,M,10,U,LE3,A,3,2,1,2,0,no,yes,yes,no,yes,yes,yes,4,2,1,0,53
AB10,M,10,U,GT3,T,3,4,1,2,0,no,yes,yes,yes,yes,yes,yes,5,5,5,0,44
AB11,F,10,U,GT3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,3,3,2,0,27
AB12,F,10,U,GT3,T,2,1,3,3,0,no,yes,no,yes,yes,yes,yes,5,2,4,4,34
AB13,M,10,U,LE3,T,4,4,1,1,0,no,yes,yes,yes,yes,yes,yes,4,3,5,2,42
AB14,M,10,U,GT3,T,4,3,2,2,0,no,yes,yes,no,yes,yes,yes,5,4,3,2,31
AB15,M,10,U,GT3,A,2,2,1,3,0,no,yes,no,no,yes,yes,yes,4,5,3,0,46
AB16,F,11,U,GT3,T,4,4,1,1,0,no,yes,no,no,yes,yes,yes,4,4,2,4,42
AB17,F,11,U,GT3,T,4,4,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,2,6,41
AB18,F,11,U,GT3,T,3,3,3,2,0,yes,yes,no,yes,yes,yes,no,5,3,4,4,28
AB19,M,12,U,GT3,T,3,2,1,1,3,no,yes,no,yes,yes,yes,yes,5,5,5,16,16
AB20,M,11,U,LE3,T,4,3,1,1,0,no,no,yes,yes,yes,yes,yes,3,1,5,4,28
AB21,M,10,U,GT3,T,4,3,1,2,0,no,no,no,no,yes,yes,yes,4,4,1,0,42
AB22,M,10,U,GT3,T,4,4,1,1,0,no,yes,yes,no,yes,yes,yes,5,4,5,0,42
AB23,M,11,U,LE3,T,4,2,1,2,0,no,no,no,yes,yes,yes,yes,4,5,5,2,46
AB24,M,11,U,LE3,T,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,5,4,5,0,38
AB25,F,10,R,GT3,T,2,4,1,3,0,yes,yes,yes,yes,yes,yes,yes,4,3,5,2,27
AB26,F,11,U,GT3,T,2,2,1,1,2,no,yes,yes,no,no,yes,yes,1,2,5,14,23
AB27,M,10,U,GT3,T,2,2,1,1,0,no,yes,yes,no,yes,yes,yes,4,2,5,2,35
AB28,M,10,U,GT3,T,4,2,1,1,0,no,no,yes,no,yes,yes,yes,2,2,1,4,46
AB29,M,11,U,LE3,A,3,4,1,2,0,yes,yes,no,yes,yes,yes,yes,5,3,5,4,33
AB30,M,11,U,GT3,T,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,16,33
AB31,M,10,U,GT3,T,4,4,1,2,0,no,yes,yes,no,no,yes,yes,5,4,5,0,32
AB32,M,10,U,GT3,T,4,4,2,2,0,no,yes,no,yes,yes,yes,yes,4,3,5,0,50
AB33,M,10,R,GT3,T,4,3,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,5,0,49
AB34,M,10,U,LE3,T,3,3,1,2,0,no,no,no,yes,no,yes,yes,5,3,2,0,30
AB35,M,11,U,GT3,T,3,2,1,1,0,no,yes,yes,no,no,yes,yes,5,4,5,0,41
AB36,F,10,U,GT3,T,2,3,2,1,0,no,yes,no,yes,yes,yes,no,3,5,5,0,21
AB37,M,10,U,LE3,T,4,3,1,3,0,no,yes,no,yes,yes,yes,yes,5,4,4,2,49
AB38,M,11,R,GT3,A,4,4,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,5,7,46
AB39,F,10,R,GT3,T,3,4,1,3,0,yes,yes,yes,yes,yes,yes,yes,4,3,5,2,35
AB40,F,10,R,GT3,T,2,2,1,1,0,yes,yes,yes,yes,yes,yes,no,4,3,2,8,40
AB41,F,11,U,LE3,T,2,2,2,2,1,no,yes,no,yes,no,yes,yes,3,3,3,25,28
AB42,M,10,U,LE3,T,4,4,1,1,0,no,yes,no,no,no,yes,yes,5,4,5,8,36
AB43,M,10,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,5,2,55
AB44,M,10,U,GT3,T,2,2,1,1,0,yes,yes,no,no,yes,yes,yes,5,4,1,0,27
AB45,F,11,U,LE3,T,2,2,2,2,1,yes,no,no,yes,yes,yes,yes,4,3,5,14,29
AB46,F,10,U,LE3,A,4,3,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,5,8,22
AB47,F,11,U,LE3,A,3,3,1,2,0,no,yes,no,no,yes,yes,yes,2,3,3,12,34
AB48,M,11,U,GT3,T,4,3,1,4,0,no,no,no,yes,yes,yes,yes,4,2,2,4,58
AB49,M,10,U,GT3,T,4,2,1,2,0,no,yes,yes,no,yes,yes,no,4,3,5,2,44
AB50,F,10,U,GT3,T,4,4,1,2,1,yes,yes,no,yes,no,yes,yes,4,4,3,2,21
AB51,F,11,U,LE3,T,2,2,3,2,0,no,yes,yes,no,yes,yes,yes,4,3,4,2,38
AB52,F,10,U,LE3,T,4,2,1,2,0,no,yes,yes,no,yes,yes,yes,4,3,5,2,37
AB53,M,10,U,LE3,A,4,2,2,1,1,no,no,no,no,yes,yes,no,5,5,5,6,32
AB54,F,10,U,GT3,T,4,4,1,1,0,yes,yes,yes,no,yes,yes,yes,3,3,5,0,29
AB55,F,10,U,LE3,A,3,3,1,1,0,no,no,yes,no,yes,yes,yes,5,3,1,6,36
AB56,F,11,U,GT3,A,2,1,1,2,0,no,no,yes,yes,yes,yes,yes,5,3,2,8,27
AB57,F,10,U,GT3,A,4,3,1,2,0,no,yes,yes,yes,yes,yes,yes,4,3,1,0,44
AB58,M,10,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,no,3,2,5,4,44
AB59,M,10,U,LE3,T,1,2,1,2,0,yes,yes,no,yes,yes,yes,yes,4,3,5,2,28
AB60,F,11,U,GT3,T,4,2,1,2,0,no,yes,no,no,yes,yes,yes,4,2,5,2,47
AB61,F,11,R,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,no,2,4,4,6,32
AB62,F,11,U,GT3,T,1,1,4,1,0,yes,yes,no,yes,no,yes,yes,5,5,5,6,29
AB63,F,11,U,LE3,T,1,2,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,1,4,27
AB64,F,11,U,GT3,T,4,3,1,3,0,yes,yes,yes,yes,yes,yes,yes,3,4,4,2,28
AB65,F,10,U,LE3,T,4,3,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,2,0,30
AB66,F,11,U,LE3,T,4,3,3,2,0,no,yes,no,yes,yes,yes,yes,5,4,1,2,46
AB67,M,10,U,GT3,A,4,4,1,4,0,no,yes,no,yes,no,yes,yes,1,3,3,4,38
AB68,F,11,U,GT3,T,3,1,1,4,0,yes,yes,yes,no,yes,yes,yes,4,3,5,4,20
AB69,F,10,R,LE3,T,2,2,2,2,0,yes,yes,yes,no,yes,yes,yes,4,1,4,2,25
AB70,F,10,R,LE3,T,3,1,2,4,0,no,yes,no,no,no,yes,yes,4,4,3,12,48
AB71,M,11,U,GT3,T,3,1,2,4,0,no,yes,yes,no,yes,yes,yes,4,3,5,0,43
AB72,M,10,U,GT3,T,4,2,1,4,0,no,no,no,no,yes,yes,yes,3,3,3,0,30
AB73,F,10,R,GT3,T,1,1,1,2,2,yes,yes,no,no,no,yes,yes,3,3,5,2,19
AB74,M,11,U,GT3,T,3,1,1,1,0,no,no,no,yes,yes,yes,no,5,3,5,2,38
AB75,F,11,U,GT3,T,3,3,1,2,0,yes,yes,yes,yes,yes,yes,yes,4,3,5,54,34
AB76,M,10,U,GT3,T,4,3,1,2,0,no,yes,yes,yes,yes,yes,yes,4,3,5,6,28
AB77,M,10,U,GT3,T,4,0,2,4,0,no,no,no,yes,yes,yes,yes,3,4,1,8,32
AB78,F,11,U,GT3,T,2,2,1,4,0,no,no,yes,no,yes,yes,yes,5,2,3,0,33
AB79,M,12,U,GT3,T,2,1,2,1,3,yes,yes,no,yes,yes,no,yes,4,5,3,2,26
AB80,F,11,U,GT3,T,3,4,1,2,0,no,yes,no,no,yes,yes,yes,2,4,3,12,15
AB81,M,10,U,GT3,T,2,3,1,1,0,yes,yes,yes,yes,no,yes,yes,3,2,3,2,34
AB82,M,10,U,GT3,T,2,3,1,3,0,yes,no,yes,no,no,yes,yes,5,3,5,4,32
AB83,F,10,U,LE3,T,3,2,1,2,0,no,yes,yes,no,yes,yes,yes,4,4,5,10,19
AB84,M,10,U,LE3,T,2,2,2,2,0,no,no,yes,yes,yes,yes,yes,5,3,4,4,45
AB85,F,10,U,GT3,T,1,1,1,2,0,no,yes,no,yes,no,yes,yes,4,3,4,2,29
AB86,F,10,U,GT3,T,4,4,2,2,2,no,no,yes,no,yes,yes,yes,4,4,5,6,24
AB87,F,11,U,LE3,T,2,2,1,2,0,no,yes,no,no,yes,yes,no,4,3,2,4,21
AB88,F,10,U,GT3,T,4,2,1,3,0,no,yes,no,yes,yes,yes,yes,5,3,1,4,41
AB89,M,11,U,GT3,T,2,2,2,2,1,no,no,yes,yes,no,yes,yes,4,4,3,12,31
AB90,M,11,U,LE3,A,4,4,1,2,0,no,yes,no,no,yes,yes,no,4,1,5,18,21
AB91,F,11,U,GT3,T,3,3,1,3,0,no,yes,yes,no,yes,yes,yes,4,3,4,0,22
AB92,F,10,U,GT3,T,4,3,1,1,0,no,no,yes,yes,yes,yes,yes,4,5,1,4,51
AB93,F,11,U,LE3,T,3,1,1,2,0,yes,yes,no,no,yes,yes,no,3,3,2,4,19
AB94,F,11,U,GT3,T,4,2,2,2,0,no,yes,yes,yes,yes,yes,yes,5,3,1,0,31
AB95,M,10,U,LE3,T,2,2,1,4,0,no,yes,no,yes,yes,yes,yes,4,3,4,6,38
AB96,F,10,R,GT3,T,1,1,2,4,1,yes,yes,yes,yes,yes,yes,yes,3,1,1,2,27
AB97,M,11,R,GT3,T,4,3,2,1,0,yes,yes,no,yes,no,yes,yes,3,3,4,2,41
AB98,F,11,U,GT3,T,2,1,1,2,0,no,yes,yes,no,yes,yes,no,4,3,5,2,27
AB99,F,11,U,GT3,T,4,4,1,1,0,no,no,no,yes,no,yes,yes,5,3,1,6,39
AB100,F,11,U,GT3,T,4,3,1,3,0,yes,yes,yes,no,yes,yes,yes,5,3,3,0,24
AB101,M,11,U,GT3,T,4,4,1,1,0,yes,yes,yes,yes,yes,yes,yes,4,5,4,14,19
AB102,M,11,U,GT3,T,4,4,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,4,0,50
AB103,M,10,U,GT3,T,4,4,1,1,0,no,yes,no,yes,no,yes,yes,5,3,5,4,37
AB104,F,10,U,GT3,T,3,2,2,2,0,yes,yes,yes,no,yes,yes,yes,4,3,2,26,19
AB105,M,10,U,GT3,A,3,4,1,2,0,no,yes,yes,yes,yes,yes,yes,5,4,1,0,52
AB106,F,10,U,GT3,A,3,3,1,4,0,yes,no,no,no,yes,yes,no,4,3,4,10,32
AB107,F,10,U,GT3,T,2,2,1,4,0,yes,yes,yes,no,yes,yes,yes,5,1,3,8,23
AB108,M,11,U,GT3,T,3,3,1,3,0,no,yes,no,yes,yes,yes,yes,5,3,5,2,52
AB109,M,10,R,GT3,T,4,4,4,4,0,no,yes,yes,yes,yes,yes,yes,1,3,1,6,36
AB110,F,11,U,LE3,T,4,4,1,3,0,no,yes,yes,yes,yes,yes,yes,5,4,4,4,45
AB111,M,10,U,LE3,A,4,4,1,1,0,no,no,no,yes,yes,yes,yes,5,5,4,6,56
AB112,F,11,R,GT3,T,3,3,1,3,1,yes,yes,no,yes,yes,yes,yes,4,1,2,0,27
AB113,F,11,U,GT3,T,2,2,1,2,1,yes,no,no,yes,yes,yes,yes,3,1,5,6,36
AB114,M,10,U,LE3,T,4,2,1,1,0,no,no,no,no,yes,yes,yes,3,5,3,10,56
AB115,M,10,R,GT3,T,2,1,1,2,0,no,no,no,yes,yes,yes,yes,5,4,5,8,27
AB116,M,11,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,5,4,5,2,46
AB117,M,10,U,GT3,T,4,4,2,2,0,no,yes,no,yes,yes,yes,no,4,4,2,2,38
AB118,M,11,U,GT3,T,3,3,2,1,0,no,no,no,yes,yes,yes,yes,5,4,5,0,40
AB119,M,12,R,GT3,T,1,3,3,2,1,no,yes,no,yes,yes,yes,yes,5,2,5,20,24
AB120,M,10,U,GT3,T,3,4,1,1,0,no,no,no,no,yes,yes,yes,3,4,4,6,40
AB121,F,10,U,GT3,T,1,2,1,2,0,no,no,no,no,no,yes,yes,3,2,1,2,46
AB122,M,10,U,GT3,T,2,2,1,4,0,no,yes,yes,yes,yes,yes,yes,5,5,5,6,45
AB123,F,11,U,LE3,T,2,4,2,2,0,no,yes,yes,yes,yes,yes,yes,4,2,5,2,39
AB124,M,11,U,GT3,T,4,4,1,1,0,no,yes,no,yes,yes,yes,yes,3,4,5,18,38
AB125,F,11,U,GT3,T,2,2,1,2,0,no,no,yes,no,yes,yes,yes,5,4,5,0,23
AB126,M,10,U,GT3,T,3,4,1,1,0,yes,no,no,no,yes,yes,yes,5,5,5,0,38
AB127,F,10,U,LE3,A,3,4,1,2,0,yes,no,no,yes,yes,yes,yes,5,3,1,0,28
AB128,F,14,U,GT3,T,0,1,1,2,3,no,yes,no,no,no,no,no,3,4,5,2,24
AB129,M,13,R,GT3,T,2,2,1,1,2,no,yes,no,yes,yes,yes,yes,3,3,4,0,11
AB130,M,11,R,GT3,T,4,4,1,1,0,no,no,yes,yes,yes,yes,yes,3,5,4,8,54
AB131,F,10,R,GT3,T,3,4,2,3,2,no,yes,no,no,yes,yes,yes,4,2,5,0,12
AB132,F,10,U,GT3,T,1,1,3,1,0,no,yes,no,yes,no,yes,yes,4,3,4,0,8
AB133,F,12,U,LE3,T,2,2,1,1,0,no,yes,no,no,yes,yes,yes,3,4,5,12,35
AB134,F,11,U,GT3,A,3,4,1,1,0,no,no,no,no,yes,yes,yes,3,2,5,16,34
AB135,M,10,R,GT3,T,3,4,4,2,0,no,yes,no,no,yes,yes,no,5,3,5,0,9
AB136,F,10,U,GT3,T,4,4,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,5,0,11
AB137,M,12,R,GT3,T,3,4,3,2,0,no,no,no,no,yes,yes,no,5,4,5,0,10
AB138,F,11,U,GT3,A,3,3,2,1,2,no,yes,no,yes,no,yes,yes,4,3,5,0,4
AB139,M,11,U,LE3,T,1,1,1,2,1,no,no,no,no,yes,yes,no,4,4,5,0,38
AB140,F,10,U,GT3,T,4,4,2,1,0,no,no,no,yes,yes,yes,yes,4,3,5,0,47
AB141,M,10,U,GT3,T,4,3,2,4,0,yes,yes,no,no,yes,yes,yes,2,2,3,0,16
AB142,M,11,U,LE3,T,2,2,2,1,2,no,yes,no,yes,yes,yes,yes,2,3,2,8,27
AB143,F,10,U,GT3,T,4,4,1,3,0,no,yes,yes,yes,yes,yes,yes,4,2,5,2,31
AB144,F,11,U,LE3,T,1,1,1,1,0,no,no,no,no,yes,yes,yes,3,4,1,2,41
AB145,M,12,U,GT3,T,2,1,1,1,3,no,yes,no,no,yes,yes,yes,5,4,5,0,5
AB146,F,10,U,GT3,T,1,1,1,2,0,no,yes,yes,no,yes,yes,yes,4,4,5,0,30
AB147,F,10,U,GT3,T,3,2,1,2,3,no,yes,no,no,yes,yes,yes,3,3,3,0,13
AB148,F,10,U,GT3,T,1,2,1,2,0,no,yes,yes,no,no,yes,yes,4,3,5,2,32
AB149,M,11,U,GT3,T,4,4,1,1,0,no,yes,no,no,yes,no,yes,3,3,5,0,13
AB150,M,10,U,LE3,A,2,1,4,1,3,no,no,no,no,yes,yes,yes,4,5,5,0,27
AB151,M,13,U,LE3,T,1,1,1,1,3,no,no,no,no,yes,no,yes,2,3,4,0,11
AB152,M,11,U,LE3,T,2,1,1,1,1,no,no,no,yes,yes,yes,no,4,4,5,6,39
AB153,F,10,R,GT3,T,3,3,2,3,2,no,yes,yes,yes,yes,yes,yes,4,2,3,8,30
AB154,M,14,U,GT3,T,3,2,1,1,3,no,yes,no,no,yes,no,yes,4,5,4,0,5
AB155,F,12,U,GT3,T,4,4,1,1,0,yes,yes,no,no,yes,yes,no,4,2,4,0,34
AB156,M,10,R,GT3,T,2,3,1,2,0,yes,no,yes,yes,yes,yes,no,4,4,1,2,27
AB157,M,12,R,LE3,T,1,2,1,1,0,no,no,no,no,yes,yes,no,2,2,5,8,41
AB158,F,13,R,GT3,T,1,1,3,1,3,no,yes,no,yes,no,yes,no,5,2,4,6,27
AB159,M,11,R,GT3,T,2,2,3,1,0,no,no,no,no,no,yes,no,4,2,3,2,47
AB160,M,11,U,GT3,T,3,3,1,2,1,no,yes,yes,no,yes,yes,yes,4,5,5,4,34
AB161,M,12,R,LE3,T,2,1,2,1,2,no,no,no,yes,yes,no,yes,3,3,5,0,13
AB162,M,10,R,GT3,T,3,2,2,2,2,yes,yes,no,no,yes,yes,yes,4,4,3,6,21
AB163,M,11,U,LE3,T,1,2,2,1,1,no,no,no,yes,yes,yes,no,4,4,5,0,7
AB164,M,12,U,GT3,T,1,3,1,1,0,no,no,no,no,yes,no,yes,5,3,2,2,30
AB165,M,12,R,LE3,T,1,1,4,2,3,no,no,no,yes,yes,no,no,5,3,5,0,20
AB166,M,11,U,GT3,T,3,2,2,1,1,no,yes,no,yes,no,no,no,4,5,2,16,35
AB167,M,11,U,GT3,T,2,2,1,2,0,no,no,no,no,yes,no,yes,4,3,4,4,30
AB168,F,11,U,GT3,T,4,2,1,2,0,no,no,yes,no,yes,yes,yes,4,2,3,0,45
AB169,F,11,U,GT3,T,2,2,1,2,0,no,yes,yes,no,no,yes,yes,5,1,4,0,13
AB170,F,11,U,GT3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,4,4,3,0,42
AB171,M,11,U,GT3,T,3,4,3,1,2,no,yes,no,yes,no,yes,yes,3,4,2,0,11
AB172,M,11,U,GT3,T,1,0,2,2,0,no,yes,yes,yes,yes,yes,yes,4,3,3,2,44
AB173,M,12,U,LE3,T,4,4,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,0,34
AB174,F,11,U,GT3,T,1,3,1,2,3,no,no,no,yes,no,yes,yes,4,3,3,0,15
AB175,F,11,U,LE3,T,3,3,2,2,0,no,yes,yes,yes,yes,yes,yes,4,4,4,4,30
AB176,M,12,U,LE3,T,4,3,2,2,0,no,no,yes,yes,yes,yes,yes,4,4,4,4,28
AB177,F,11,U,GT3,T,2,2,2,2,0,no,no,yes,yes,no,yes,yes,3,4,5,2,37
AB178,M,12,U,GT3,T,3,3,1,2,0,no,no,no,yes,no,yes,yes,4,3,4,4,17
AB179,M,11,R,GT3,T,4,2,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,10,27
AB180,M,12,U,GT3,T,4,3,1,2,0,no,yes,no,yes,yes,yes,yes,5,2,2,4,31
AB181,M,11,U,GT3,T,4,3,1,2,0,no,yes,yes,yes,yes,yes,yes,3,4,3,10,25
AB182,M,11,U,GT3,T,3,3,1,2,0,no,no,yes,yes,yes,yes,yes,4,2,3,2,37
AB183,F,12,U,GT3,T,2,4,1,2,0,no,yes,no,yes,yes,yes,no,5,4,5,0,50
AB184,F,12,U,LE3,T,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,1,56,26
AB185,F,11,U,GT3,T,3,2,1,2,0,no,yes,yes,no,yes,yes,yes,1,2,1,14,37
AB186,M,12,U,GT3,T,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,4,12,35
AB187,M,11,U,GT3,T,1,2,1,1,0,no,yes,yes,yes,yes,yes,yes,3,3,3,2,34
AB188,M,11,U,LE3,T,2,1,1,2,0,no,no,yes,yes,yes,yes,yes,4,2,5,0,45
AB189,F,12,U,GT3,A,3,3,1,2,0,no,yes,no,no,no,yes,yes,3,3,3,6,24
AB190,M,12,R,GT3,T,1,2,1,2,0,no,no,no,no,yes,yes,no,3,1,3,4,27
AB191,F,11,U,GT3,T,2,3,1,2,0,no,no,no,no,yes,yes,yes,4,3,2,10,36
AB192,F,12,U,GT3,T,1,1,1,2,0,no,no,no,yes,yes,yes,yes,5,3,3,0,25
AB193,M,12,U,GT3,T,1,2,2,2,0,no,no,yes,yes,no,yes,yes,4,4,5,12,23
AB194,M,11,R,GT3,T,3,3,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,5,8,27
AB195,M,11,U,GT3,T,2,3,2,1,0,no,no,no,no,yes,yes,yes,5,3,3,0,41
AB196,F,12,U,LE3,T,2,4,1,2,0,no,no,no,yes,yes,yes,yes,4,3,5,0,44
AB197,M,12,U,GT3,T,4,4,1,1,0,no,no,no,no,yes,yes,yes,5,2,5,4,48
AB198,M,11,R,LE3,T,3,3,3,1,0,no,yes,yes,yes,yes,yes,yes,3,3,3,8,28
AB199,F,12,U,GT3,T,4,4,2,1,1,no,yes,no,no,yes,yes,yes,4,2,2,24,54
AB200,F,11,U,LE3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,4,5,3,0,28
